year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Brown,39015,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,76.1,72.2,79.6,43680,33820,0.09724047306176073
2022,OH,Ohio,Brown,39015,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,22.6,20.2,25.1,43680,33820,0.21681415929203549
2022,OH,Ohio,Brown,39015,Health Outcomes,DEPRESSION,Depression among adults,Depression,27.2,23.6,31,43680,33820,0.27205882352941174
2022,OH,Ohio,Brown,39015,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,11.5,10,13.1,43680,33820,0.2695652173913043
2022,OH,Ohio,Brown,39015,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,16.2,14.4,18,43680,33820,0.2222222222222222
2022,OH,Ohio,Brown,39015,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,10.3,9.3,11.3,43680,33820,0.1941747572815534
2022,OH,Ohio,Brown,39015,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,30.2,26.2,34.3,43680,33820,0.26821192052980125
2022,OH,Ohio,Brown,39015,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,74,66.6,80.4,43680,33820,0.18648648648648664
2022,OH,Ohio,Brown,39015,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,21.8,19.9,23.9,43680,33820,0.18348623853211007
2022,OH,Ohio,Brown,39015,Health Outcomes,OBESITY,Obesity among adults,Obesity,42.6,36.3,49.1,43680,33820,0.30046948356807524
2022,OH,Ohio,Butler,39017,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,10.3,9.2,11.5,388420,298743,0.22330097087378648
2021,OH,Ohio,Butler,39017,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,32.4,29,36,388420,298743,0.2160493827160494
2022,OH,Ohio,Butler,39017,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,75.3,71.9,78.5,388420,298743,0.08764940239043817
2022,OH,Ohio,Butler,39017,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,19.1,17.1,21.3,388420,298743,0.21989528795811514
2022,OH,Ohio,Butler,39017,Health Outcomes,DEPRESSION,Depression among adults,Depression,27.4,24.3,30.8,388420,298743,0.2372262773722628
2022,OH,Ohio,Butler,39017,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,11.6,10.2,13,388420,298743,0.24137931034482765
2022,OH,Ohio,Butler,39017,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,13.5,12,15,388420,298743,0.2222222222222222
2022,OH,Ohio,Butler,39017,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,8.7,7.9,9.5,388420,298743,0.18390804597701146
