fips,county,state_abbr,year_access2,year_bphigh,year_checkup,year_csmoking,year_depression,year_diabetes,year_foodinsecu,year_lacktrpt,year_lpa,year_mammouse,year_mhlth,year_obesity,prevalence_access2,prevalence_bphigh,prevalence_checkup,prevalence_csmoking,prevalence_depression,prevalence_diabetes,prevalence_foodinsecu,prevalence_lacktrpt,prevalence_lpa,prevalence_mammouse,prevalence_mhlth,prevalence_obesity,lower_ci_access2,lower_ci_bphigh,lower_ci_checkup,lower_ci_csmoking,lower_ci_depression,lower_ci_diabetes,lower_ci_foodinsecu,lower_ci_lacktrpt,lower_ci_lpa,lower_ci_mammouse,lower_ci_mhlth,lower_ci_obesity,upper_ci_access2,upper_ci_bphigh,upper_ci_checkup,upper_ci_csmoking,upper_ci_depression,upper_ci_diabetes,upper_ci_foodinsecu,upper_ci_lacktrpt,upper_ci_lpa,upper_ci_mammouse,upper_ci_mhlth,upper_ci_obesity
39099,Mahoning,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.3,31.2,77,21.6,25.6,12.5,17.3,10.4,27.9,76.7,20.9,39.7,8.3,27.8,73.7,19.4,22.6,11.1,15.5,9.5,24.6,70.6,19.1,35,10.4,34.5,80.1,24,28.9,14.1,19.1,11.5,31.5,82.1,22.8,44.8
39101,Marion,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.2,35.7,76.1,23.2,28.4,12.8,18.5,11.7,27.9,73,22.2,45.2,9.1,32,72.7,20.9,25,11.3,16.6,10.6,24.4,65.8,20.3,39.6,11.4,39.6,79.5,25.7,32,14.4,20.4,12.7,31.6,79.2,24.2,50.9
39103,Medina,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.8,28.4,76.5,16.1,25.9,10.4,10.2,7.3,22.3,76.4,18.1,36,6,25.1,72.8,14.2,22.5,9.1,9,6.6,19.1,69.3,16.4,30.1,7.6,31.9,80,18.1,29.6,11.8,11.5,8,25.8,82.5,19.8,42.1
39105,Meigs,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,12.3,36.4,76.1,25.1,31.1,13.1,16.6,10.4,31.1,74.4,23.8,48.7,11,32.5,72.2,22.4,27.1,11.5,14.8,9.4,26.8,67,21.7,41.6,13.8,40.5,79.7,27.9,35.3,14.8,18.6,11.5,35.6,81.2,25.9,55.6
39107,Mercer,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.4,31.5,75.1,19.6,25.8,10.9,11.7,8.1,25.2,77.3,20.1,37.8,7.5,28.3,71.4,17.5,22.4,9.5,10.4,7.3,21.7,70.8,18.3,31.9,9.4,36.3,78.7,21.9,29.6,12.4,13.1,8.9,29,83.2,22,44.1
39109,Miami,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8,32.3,77.7,16.4,26.8,10.5,12.8,8.6,21.2,71,19.2,39.8,7.1,28.5,73.9,14.4,23.1,9.2,11.4,7.9,17.8,62.5,17.4,33,9.1,36.1,81.3,18.5,30.8,12.1,14.3,9.5,25,78.3,21.2,47.1
39111,Monroe,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10,35.2,75.2,24.3,29.4,12.1,14.8,9.6,29.4,70.9,22.9,43,8.9,31.1,71.3,21.7,25.5,10.5,13.1,8.7,25.2,62.6,20.9,36,11.2,39.1,79,27,33.5,13.8,16.6,10.6,33.9,78.7,25,50.3
39113,Montgomery,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.4,34,78,19.9,27.9,12.4,13.9,9.1,29.4,76.5,20.9,41.5,7.7,30.9,75.9,18.5,25.8,11.4,12.5,8.2,27.2,72.5,19.7,38.5,9.2,36.9,80.1,21.5,30.1,13.4,15.4,9.9,31.7,80.2,22.3,44.6
39115,Morgan,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.8,35.5,76.8,19.3,28.1,11.8,19.2,12.2,26.4,72.3,21.5,41.8,8.7,31.5,73,17.2,24.3,10.4,17.3,11.1,22.5,64.4,19.5,34.7,11,39.8,80.5,21.7,32.3,13.5,21.3,13.4,30.8,79.6,23.6,49.7
39117,Morrow,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,10.3,33.4,74.9,23.8,29.5,12.5,13.8,9,30,73.2,22.4,42.6,9.1,29.5,71.1,21.2,25.7,10.9,12.3,8.1,25.9,65.4,20.4,36,11.5,37.4,78.6,26.4,33.5,14.1,15.5,9.9,34.3,80.1,24.4,49.3
